ejecucion,repeticion,n,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_solucion,conflictos,generacion_mejor,generaciones_ejecutadas,tiempo_segundos,exito
n6_p200_m0.05_r07,7,6,200,0.05,2,500,2032,"[4, 2, 0, 5, 3, 1]",0,1,1,0.022274999999353895,True
n6_p200_m0.05_r08,8,6,200,0.05,2,500,2033,"[2, 5, 1, 4, 0, 3]",0,2,2,0.04218899999978021,True
n6_p200_m0.05_r09,9,6,200,0.05,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.0032916999989538454,True
n6_p200_m0.05_r10,10,6,200,0.05,2,500,2035,"[2, 5, 1, 4, 0, 3]",0,0,0,0.003020500000275206,True
n6_p200_m0.10_r01,1,6,200,0.1,2,500,2026,"[3, 0, 4, 1, 5, 2]",0,1,1,0.018057699999189936,True
n6_p200_m0.10_r02,2,6,200,0.1,2,500,2027,"[3, 0, 4, 1, 5, 2]",0,2,2,0.025184999998600688,True
n6_p200_m0.10_r03,3,6,200,0.1,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.002844299997377675,True
n6_p200_m0.10_r04,4,6,200,0.1,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.003807499997492414,True
n6_p200_m0.10_r05,5,6,200,0.1,2,500,2030,"[4, 2, 0, 5, 3, 1]",0,1,1,0.017157899997982895,True
n6_p200_m0.10_r06,6,6,200,0.1,2,500,2031,"[1, 3, 5, 0, 2, 4]",0,1,1,0.013920099998358637,True
n6_p200_m0.10_r07,7,6,200,0.1,2,500,2032,"[1, 3, 5, 0, 2, 4]",0,1,1,0.01432070000009844,True
n6_p200_m0.10_r08,8,6,200,0.1,2,500,2033,"[4, 2, 0, 5, 3, 1]",0,1,1,0.02433519999976852,True
n6_p200_m0.10_r09,9,6,200,0.1,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.003478200000245124,True
n6_p200_m0.10_r10,10,6,200,0.1,2,500,2035,"[2, 5, 1, 4, 0, 3]",0,0,0,0.003231700000469573,True
n6_p200_m0.20_r01,1,6,200,0.2,2,500,2026,"[3, 0, 4, 1, 5, 2]",0,1,1,0.01548230000116746,True
n6_p200_m0.20_r02,2,6,200,0.2,2,500,2027,"[2, 5, 1, 4, 0, 3]",0,2,2,0.04826830000092741,True
n6_p200_m0.20_r03,3,6,200,0.2,2,500,2028,"[2, 5, 1, 4, 0, 3]",0,0,0,0.003459299998212373,True
n6_p200_m0.20_r04,4,6,200,0.2,2,500,2029,"[1, 3, 5, 0, 2, 4]",0,0,0,0.005270900001050904,True
n6_p200_m0.20_r05,5,6,200,0.2,2,500,2030,"[4, 2, 0, 5, 3, 1]",0,1,1,0.01538569999684114,True
n6_p200_m0.20_r06,6,6,200,0.2,2,500,2031,"[1, 3, 5, 0, 2, 4]",0,1,1,0.023138599997764686,True
n6_p200_m0.20_r07,7,6,200,0.2,2,500,2032,"[2, 5, 1, 4, 0, 3]",0,2,2,0.030687100002978696,True
n6_p200_m0.20_r08,8,6,200,0.2,2,500,2033,"[2, 5, 1, 4, 0, 3]",0,1,1,0.014550800002325559,True
n6_p200_m0.20_r09,9,6,200,0.2,2,500,2034,"[4, 2, 0, 5, 3, 1]",0,0,0,0.003123899998172419,True
n6_p200_m0.20_r10,10,6,200,0.2,2,500,2035,"[2, 5, 1, 4, 0, 3]",0,0,0,0.004503800002567004,True
