ejecucion,repeticion,capacidad,metodo,poblacion,tasa_mutacion,elitismo,max_generaciones,semilla,mejor_individuo,objetos_seleccionados,peso_total,valor_total,fitness,generacion_mejor,generaciones_ejecutadas,tiempo_segundos
16,6,30,reparacion,100,0.1,2,500,2031,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.814569699999993
17,7,30,reparacion,100,0.1,2,500,2032,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,2,500,6.135585200001515
18,8,30,reparacion,100,0.1,2,500,2033,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.403614499999094
19,9,30,reparacion,100,0.1,2,500,2034,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.487787300000491
20,10,30,reparacion,100,0.1,2,500,2035,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",30,422,422,1,500,5.460416499998246
21,1,45,penalizacion,100,0.1,2,500,2026,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,9,500,4.17535190000126
22,2,45,penalizacion,100,0.1,2,500,2027,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,16,500,4.261049900000216
23,3,45,penalizacion,100,0.1,2,500,2028,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,53,500,4.243927300001815
24,4,45,penalizacion,100,0.1,2,500,2029,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,11,500,4.107694900001661
25,5,45,penalizacion,100,0.1,2,500,2030,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,11,500,4.055925499997102
26,6,45,penalizacion,100,0.1,2,500,2031,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[""Laptop"", ""Cámara"", ""Tablet"", ""Botiquín"", ""Agua"", ""Alimentos"", ""Linterna"", ""Radio"", ""Batería"", ""GPS"", ""Cuaderno""]",45,552,552,19,500,4.180335700002615
