generacion,distancia_generacion,mejor_distancia
244,329.31823027761055,329.31823027761055
245,329.31823027761055,329.31823027761055
246,329.31823027761055,329.31823027761055
247,329.31823027761055,329.31823027761055
248,329.31823027761055,329.31823027761055
249,329.31823027761055,329.31823027761055
250,329.31823027761055,329.31823027761055
251,329.31823027761055,329.31823027761055
252,329.31823027761055,329.31823027761055
253,329.31823027761055,329.31823027761055
254,329.31823027761055,329.31823027761055
255,329.31823027761055,329.31823027761055
256,329.31823027761055,329.31823027761055
257,329.31823027761055,329.31823027761055
258,329.31823027761055,329.31823027761055
259,329.31823027761055,329.31823027761055
260,329.31823027761055,329.31823027761055
261,329.31823027761055,329.31823027761055
262,329.31823027761055,329.31823027761055
263,329.31823027761055,329.31823027761055
264,329.31823027761055,329.31823027761055
265,329.31823027761055,329.31823027761055
266,329.31823027761055,329.31823027761055
267,329.31823027761055,329.31823027761055
268,329.31823027761055,329.31823027761055
269,329.31823027761055,329.31823027761055
270,329.31823027761055,329.31823027761055
271,329.31823027761055,329.31823027761055
272,329.31823027761055,329.31823027761055
273,329.31823027761055,329.31823027761055
274,329.31823027761055,329.31823027761055
275,329.31823027761055,329.31823027761055
276,329.31823027761055,329.31823027761055
277,329.31823027761055,329.31823027761055
278,329.31823027761055,329.31823027761055
279,329.31823027761055,329.31823027761055
280,329.31823027761055,329.31823027761055
281,329.31823027761055,329.31823027761055
282,329.31823027761055,329.31823027761055
283,329.31823027761055,329.31823027761055
284,329.31823027761055,329.31823027761055
285,329.31823027761055,329.31823027761055
286,329.31823027761055,329.31823027761055
287,329.31823027761055,329.31823027761055
288,329.31823027761055,329.31823027761055
289,329.31823027761055,329.31823027761055
290,329.31823027761055,329.31823027761055
291,329.31823027761055,329.31823027761055
292,329.31823027761055,329.31823027761055
293,329.31823027761055,329.31823027761055
294,329.31823027761055,329.31823027761055
295,329.31823027761055,329.31823027761055
296,329.31823027761055,329.31823027761055
297,329.31823027761055,329.31823027761055
298,329.31823027761055,329.31823027761055
299,329.31823027761055,329.31823027761055
300,329.31823027761055,329.31823027761055
301,329.31823027761055,329.31823027761055
302,329.31823027761055,329.31823027761055
303,329.31823027761055,329.31823027761055
304,329.31823027761055,329.31823027761055
305,329.31823027761055,329.31823027761055
306,329.31823027761055,329.31823027761055
307,329.31823027761055,329.31823027761055
308,329.31823027761055,329.31823027761055
309,329.31823027761055,329.31823027761055
310,329.31823027761055,329.31823027761055
311,329.31823027761055,329.31823027761055
312,329.31823027761055,329.31823027761055
313,329.31823027761055,329.31823027761055
314,329.31823027761055,329.31823027761055
315,329.31823027761055,329.31823027761055
316,329.31823027761055,329.31823027761055
317,329.31823027761055,329.31823027761055
318,329.31823027761055,329.31823027761055
319,329.31823027761055,329.31823027761055
320,329.31823027761055,329.31823027761055
321,329.31823027761055,329.31823027761055
322,329.31823027761055,329.31823027761055
323,329.31823027761055,329.31823027761055
324,329.31823027761055,329.31823027761055
325,329.31823027761055,329.31823027761055
326,329.31823027761055,329.31823027761055
327,329.31823027761055,329.31823027761055
328,329.31823027761055,329.31823027761055
329,329.31823027761055,329.31823027761055
330,329.31823027761055,329.31823027761055
331,329.31823027761055,329.31823027761055
332,329.31823027761055,329.31823027761055
333,329.31823027761055,329.31823027761055
334,329.31823027761055,329.31823027761055
335,329.31823027761055,329.31823027761055
336,329.31823027761055,329.31823027761055
337,329.31823027761055,329.31823027761055
338,329.31823027761055,329.31823027761055
339,329.31823027761055,329.31823027761055
340,329.31823027761055,329.31823027761055
341,329.31823027761055,329.31823027761055
342,329.31823027761055,329.31823027761055
343,329.31823027761055,329.31823027761055
344,329.31823027761055,329.31823027761055
345,329.31823027761055,329.31823027761055
346,329.31823027761055,329.31823027761055
347,329.31823027761055,329.31823027761055
348,329.31823027761055,329.31823027761055
349,329.31823027761055,329.31823027761055
350,329.31823027761055,329.31823027761055
351,329.31823027761055,329.31823027761055
352,329.31823027761055,329.31823027761055
353,329.31823027761055,329.31823027761055
354,329.31823027761055,329.31823027761055
355,329.31823027761055,329.31823027761055
356,329.31823027761055,329.31823027761055
357,329.31823027761055,329.31823027761055
358,329.31823027761055,329.31823027761055
359,329.31823027761055,329.31823027761055
360,329.31823027761055,329.31823027761055
